sample_id	env	psn	title	public	bodysite	latitude	taxon_id	body_site	elevation	env_biome	longitude	host_taxid	description	env_feature	env_package	sample_type	body_habitat	body_product	env_material	geo_loc_name	dna_extracted	sequencecenter	host_subject_id	scientific_name	host_common_name	animations_gradient	host_scientific_name	animations_trajectory	physical_specimen_location	physical_specimen_remaining	qiita_study_id
1928.SRS011157.SRX020666.SRR044955	Stool	700014956	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Stool	38.98	408170	UBERON:feces	97	urban biome	-77.11	9606	HMP_SRS011157.SRX020666.SRR044955	host-associated habitat	human-gut	stool	UBERON:feces	UBERON:feces	feces	USA	TRUE	WUGSC	700014956	human gut metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011157.SRX020669.SRR045333	Stool	700014956	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Stool	38.98	408170	UBERON:feces	97	urban biome	-77.11	9606	HMP_SRS011157.SRX020669.SRR045333	host-associated habitat	human-gut	stool	UBERON:feces	UBERON:feces	feces	USA	TRUE	WUGSC	700014956	human gut metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011159.SRX020660.SRR044847	Oral	700014968	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Saliva	38.98	447426	UBERON:saliva	97	urban biome	-77.11	9606	HMP_SRS011159.SRX020660.SRR044847	host-associated habitat	human-oral	saliva	UBERON:saliva	UBERON:saliva	sebum	USA	TRUE	WUGSC	700014968	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011159.SRX020668.SRR045072	Oral	700014968	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Saliva	38.98	447426	UBERON:saliva	97	urban biome	-77.11	9606	HMP_SRS011159.SRX020668.SRR045072	host-associated habitat	human-oral	saliva	UBERON:saliva	UBERON:saliva	sebum	USA	TRUE	WUGSC	700014968	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011161.SRX020666.SRR047481	Oral	700014973	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Tongue_dorsum	38.98	447426	UBERON:tongue	97	urban biome	-77.11	9606	HMP_SRS011161.SRX020666.SRR047481	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700014973	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011161.SRX020669.SRR045328	Oral	700014973	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Tongue_dorsum	38.98	447426	UBERON:tongue	97	urban biome	-77.11	9606	HMP_SRS011161.SRX020669.SRR045328	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700014973	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011163.SRX020515.SRR045361	Oral	700014976	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Hard_palate	38.98	447426	UBERON:hard palate	97	urban biome	-77.11	9606	HMP_SRS011163.SRX020515.SRR045361	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700014976	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011163.SRX020537.SRR045380	Oral	700014976	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Hard_palate	38.98	447426	UBERON:hard palate	97	urban biome	-77.11	9606	HMP_SRS011163.SRX020537.SRR045380	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700014976	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011163.SRX020570.SRR045452	Oral	700014976	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Hard_palate	38.98	447426	UBERON:hard palate	97	urban biome	-77.11	9606	HMP_SRS011163.SRX020570.SRR045452	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700014976	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011165.SRX020666.SRR044923	Oral	700014979	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Buccal_mucosa	38.98	447426	UBERON:buccal mucosa	97	urban biome	-77.11	9606	HMP_SRS011165.SRX020666.SRR044923	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700014979	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011165.SRX020669.SRR045303	Oral	700014979	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Buccal_mucosa	38.98	447426	UBERON:buccal mucosa	97	urban biome	-77.11	9606	HMP_SRS011165.SRX020669.SRR045303	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700014979	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011167.SRX020666.SRR044975	Oral	700014982	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Attached_Keratinized_gingiva	38.98	447426	UBERON:gingiva	97	urban biome	-77.11	9606	HMP_SRS011167.SRX020666.SRR044975	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700014982	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011167.SRX020669.SRR045346	Oral	700014982	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Attached_Keratinized_gingiva	38.98	447426	UBERON:gingiva	97	urban biome	-77.11	9606	HMP_SRS011167.SRX020669.SRR045346	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700014982	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011169.SRX020660.SRR044843	Oral	700014985	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Palatine_Tonsils	38.98	447426	UBERON:palatine tonsil	97	urban biome	-77.11	9606	HMP_SRS011169.SRX020660.SRR044843	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700014985	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011169.SRX020668.SRR045068	Oral	700014985	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Palatine_Tonsils	38.98	447426	UBERON:palatine tonsil	97	urban biome	-77.11	9606	HMP_SRS011169.SRX020668.SRR045068	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700014985	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011171.SRX020515.SRR045363	Oral	700014988	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Throat	38.98	447426	UBERON:throat	97	urban biome	-77.11	9606	HMP_SRS011171.SRX020515.SRR045363	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700014988	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011171.SRX020537.SRR045382	Oral	700014988	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Throat	38.98	447426	UBERON:throat	97	urban biome	-77.11	9606	HMP_SRS011171.SRX020537.SRR045382	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700014988	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011171.SRX020570.SRR047528	Oral	700014988	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Throat	38.98	447426	UBERON:throat	97	urban biome	-77.11	9606	HMP_SRS011171.SRX020570.SRR047528	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700014988	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
